date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2020/03/08,2020,3,8,chokepoint1,Suez Canal,12,11,6,1,17,30,47,743433,538331,7972,3992,1165333,1293730,2459063,42
2019/01/10,2019,1,10,chokepoint1,Suez Canal,14,9,5,5,16,33,49,748401,503278,34894,26878,961390,1313451,2274842,43
2020/03/09,2020,3,9,chokepoint1,Suez Canal,8,17,6,1,21,32,53,485440,877686,32943,5290,662699,1401360,2064060,44
2019/01/11,2019,1,11,chokepoint1,Suez Canal,18,10,3,4,19,35,54,883967,528275,23318,17440,930693,1453001,2383695,45
2020/03/10,2020,3,10,chokepoint1,Suez Canal,13,20,4,2,21,39,60,788398,942424,18679,11169,1528067,1760670,3288738,46
2019/01/12,2019,1,12,chokepoint1,Suez Canal,13,11,6,2,13,32,45,893912,657561,27263,2942,859363,1581679,2441043,47
2020/03/11,2020,3,11,chokepoint1,Suez Canal,15,7,2,2,16,26,42,1012655,654550,972,11705,1134798,1679884,2814683,48
2019/01/13,2019,1,13,chokepoint1,Suez Canal,14,8,2,1,15,25,40,744842,304922,7518,0,947238,1057283,2004521,49
2020/03/12,2020,3,12,chokepoint1,Suez Canal,11,13,3,2,13,29,42,661054,873541,13047,7617,394597,1555261,1949859,50
2019/01/14,2019,1,14,chokepoint1,Suez Canal,19,14,7,4,10,44,54,802733,290096,41096,14874,390131,1148800,1538932,51
2020/03/13,2020,3,13,chokepoint1,Suez Canal,14,23,7,2,16,46,62,755064,904780,28411,8439,829246,1696696,2525942,52
2019/01/15,2019,1,15,chokepoint1,Suez Canal,17,7,5,1,19,30,49,1037320,245336,18425,0,749687,1301082,2050770,53
2020/03/14,2020,3,14,chokepoint1,Suez Canal,18,12,3,1,24,34,58,1344450,780511,8699,1920,1494299,2135580,3629880,54
2019/01/16,2019,1,16,chokepoint1,Suez Canal,20,4,2,3,13,29,42,1374657,269480,5322,9853,1066528,1659313,2725841,55
2020/03/15,2020,3,15,chokepoint1,Suez Canal,17,30,11,2,14,60,74,826798,1631441,31454,10355,523552,2500050,3023602,56
2019/01/17,2019,1,17,chokepoint1,Suez Canal,10,9,3,2,15,24,39,608352,192306,8528,13801,438824,822988,1261813,57
2019/01/18,2019,1,18,chokepoint1,Suez Canal,19,6,3,1,13,29,42,1029753,360190,17973,6270,705268,1414187,2119456,58
2019/01/19,2019,1,19,chokepoint1,Suez Canal,18,10,6,1,15,35,50,1032036,636038,6815,2186,910228,1677077,2587306,59
2019/01/20,2019,1,20,chokepoint1,Suez Canal,13,13,15,2,12,43,55,584733,664293,100358,8850,468224,1358235,1826459,60
2019/01/21,2019,1,21,chokepoint1,Suez Canal,13,9,5,2,22,29,51,750272,547699,20432,4612,1099518,1323017,2422536,61
2019/01/22,2019,1,22,chokepoint1,Suez Canal,13,17,5,3,22,38,60,801358,881005,41126,14183,976455,1737674,2714129,62
2019/01/23,2019,1,23,chokepoint1,Suez Canal,25,8,6,2,20,41,61,1627659,415434,21363,3600,669317,2068056,2737374,63
2019/01/24,2019,1,24,chokepoint1,Suez Canal,16,11,2,2,16,31,47,826662,732469,4047,0,672064,1563178,2235243,64
2019/01/25,2019,1,25,chokepoint1,Suez Canal,19,11,1,2,15,33,48,1049463,317355,1829,9663,571197,1378312,1949510,65
2019/01/26,2019,1,26,chokepoint1,Suez Canal,14,12,4,2,13,32,45,934706,553162,56752,3733,782587,1548355,2330942,66
2019/01/27,2019,1,27,chokepoint1,Suez Canal,13,9,6,5,19,33,52,661159,443222,25446,12122,734973,1141951,1876925,67
2019/01/28,2019,1,28,chokepoint1,Suez Canal,15,12,1,4,18,32,50,908502,606223,3139,8983,1035275,1526848,2562123,68
